# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	5530
#@/user_id	21c2c11f-05e4-41a3-a138-35b0c9d61648
a 	啊	c=5 d=1.46884 t=5530
da hui yuan 	大会员	c=1 d=0.410656 t=5530
da kai 	打开	c=9 d=3.03294 t=5530
da kai le 	打开了	c=1 d=0.970446 t=5530
da lao 	大佬	c=2 d=0.767206 t=5530
da lao men 	大佬们	c=1 d=0.748264 t=5530
da nao 	大脑	c=1 d=0.677057 t=5530
da wen jian 	大文件	c=1 d=0.677057 t=5530
da xiao 	大小	c=1 d=0.285076 t=5530
da xiao xie 	大小写	c=1 d=0.980199 t=5530
da yin 	打印	c=5 d=2.08714 t=5530
da yin chu lai 	打印出来	c=1 d=0.722527 t=5530
dai 	呆	c=1 d=0.839457 t=5530
dai 	带	c=1 d=0.718924 t=5530
dai biao 	代表	c=1 d=0.995012 t=5530
dai hui 	呆会	c=1 d=0.612626 t=5530
dai li 	代理	c=2 d=1.5711 t=5530
dai ma 	代码	c=13 d=3.21005 t=5530
dai ma kuai 	代码块	c=1 d=0.88692 t=5530
dai ru 	带入	c=1 d=0.425283 t=5530
dan 	单	c=1 d=0.615697 t=5530
dan bu 	单步	c=2 d=1.60107 t=5530
dan ce 	单测	c=1 d=0.398519 t=5530
dan du 	单独	c=0 d=0.0250324 t=5530
dan du diao 	单独掉	c=1 d=0.251579 t=5530
dan shi 	但是	c=22 d=4.35134 t=5530
dang qian 	当前	c=13 d=2.06171 t=5530
dao 	到	c=39 d=5.10751 t=5530
dao di 	到底	c=1 d=0.697676 t=5530
dao le 	到了	c=1 d=0.955997 t=5530
dao shi hou 	到时候	c=1 d=0.66365 t=5530
dao yuan duan 	到远端	c=1 d=0.960789 t=5530
dao zhe 	到这	c=1 d=0.923116 t=5530
de 	的	c=393 d=23.2021 t=5530
de lei 	得嘞	c=0 d=0.0891366 t=5530
dei 	得	c=7 d=1.94122 t=5530
deng 	等	c=10 d=2.22427 t=5530
deng ba 	等吧	c=1 d=0.856415 t=5530
deng lu 	登录	c=2 d=0.833533 t=5530
deng ni 	等你	c=1 d=0.794534 t=5530
deng wo 	等我	c=2 d=0.802203 t=5530
deng zhe 	等着	c=1 d=0.782705 t=5530
di ceng 	底层	c=2 d=0.813883 t=5530
di fang 	地方	c=3 d=2.8481 t=5530
di jia 	低价	c=1 d=0.33454 t=5530
di que 	的确	c=2 d=0.791144 t=5530
di que shi 	的确是	c=1 d=0.99005 t=5530
di san fang fu wu 	第三方服务	c=1 d=0.790571 t=5530
di yi ci 	第一次	c=1 d=0.960789 t=5530
di yi hang 	第一行	c=1 d=0.826959 t=5530
di zhi 	地址	c=5 d=2.4143 t=5530
di zhi ma 	地址码	c=1 d=0.514274 t=5530
dian 	点	c=4 d=0.883581 t=5530
dian ji 	点击	c=3 d=1.35876 t=5530
diao 	掉	c=1 d=0.677171 t=5530
diao yong 	调用	c=9 d=3.37803 t=5530
ding wei 	定位	c=0 d=0.0904837 t=5530
ding wei le 	定位了	c=1 d=0.909373 t=5530
ding yi 	定义	c=1 d=0.955997 t=5530
dong 	动	c=0 d=0.0182684 t=5530
dong jie 	冻结	c=1 d=0.767206 t=5530
dong xi 	东西	c=5 d=1.28373 t=5530
dong xi le 	东西了	c=1 d=0.790571 t=5530
dou 	都	c=5 d=2.21164 t=5530
dou bu 	都不	c=0 d=0.071177 t=5530
dou bu yong 	都不用	c=1 d=0.628135 t=5530
dou bu zai wu han 	都不在武汉	c=1 d=0.715338 t=5530
dou di 	兜底	c=1 d=0.40657 t=5530
dou mei 	都没	c=1 d=0.773617 t=5530
dou mei ren 	都没人	c=1 d=0.348192 t=5530
dou mei you 	都没有	c=4 d=2.9063 t=5530
dou mei zou 	都没走	c=1 d=0.970446 t=5530
dou pei zhi 	都配置	c=1 d=0.535261 t=5530
dou shen me 	都什么	c=1 d=0.694197 t=5530
dou shi 	都是	c=6 d=1.39316 t=5530
dou yi jing 	都已经	c=1 d=0.316637 t=5530
dou you 	都有	c=1 d=0.715338 t=5530
dou zai 	都在	c=1 d=0.913931 t=5530
du 	读	c=1 d=0.603506 t=5530
du qu 	读取	c=3 d=1.5662 t=5530
duan 	段	c=2 d=0.820729 t=5530
duan dian 	断点	c=4 d=2.48197 t=5530
duan kou 	端口	c=4 d=1.85586 t=5530
dui 	对	c=5 d=2.53182 t=5530
dui qi 	对齐	c=6 d=2.54009 t=5530
dui ying 	对应	c=1 d=0.951229 t=5530
duo 	多	c=2 d=0.81247 t=5530
duo 	躲	c=1 d=0.694197 t=5530
duo ban tian 	多半天	c=1 d=0.856415 t=5530
duo chang shi jian 	多长时间	c=1 d=0.748264 t=5530
duo da 	多大	c=1 d=0.918512 t=5530
duo jia 	多家	c=0 d=0.0609571 t=5530
duo jia yi ge 	多家一个	c=1 d=0.612626 t=5530
duo le 	多了	c=1 d=0.516851 t=5530
duo ping mu 	多屏幕	c=2 d=1 t=5530
duo shao 	多少	c=1 d=0.39919 t=5530
duo shao qian 	多少钱	c=1 d=0.357007 t=5530
duo zai 	躲在	c=1 d=0.701173 t=5530
e wai 	额外	c=1 d=0.71177 t=5530
en 	嗯	c=1 d=0.13068 t=5530
en en 	嗯嗯	c=8 d=1.85173 t=5530
en na 	嗯呐	c=5 d=1.94032 t=5530
er 	而	c=1 d=0.615697 t=5530
er bu shi 	而不是	c=4 d=2.00482 t=5530
er jin zhi 	二进制	c=1 d=0.637628 t=5530
er qie 	而且	c=3 d=1.96438 t=5530
er shi 	而是	c=2 d=1.2039 t=5530
er shi tian 	二十天	c=0 d=0.0718924 t=5530
er shi tian le 	二十天了	c=1 d=0.722527 t=5530
fa 	发	c=1 d=0.694197 t=5530
fa 	法	c=2 d=1.30323 t=5530
fa ban 	发版	c=1 d=0.594521 t=5530
fa bu 	发布	c=1 d=0.759572 t=5530
